ID;Bank_Name;Branch_Name;Address;Town_ID;Telephone;Fax;Opening_Date
45;Akbank T.A.Ş.;Balgat;Ehlibeyt Mahallesi Ceyhun Atıf Kansu Caddesi Ata Plaza No : 100/V_Çankaya/Ankara;1231;312-4732020;312-4730276;30.12.1998
46;Akbank T.A.Ş.;Başkent Kurumsal;Uğur Mumcu Cad. No : 27_Çankaya/Ankara;1231;312-4597700;312-4597701;03.11.2003
47;Akbank T.A.Ş.;Bilkent;Bilkent Plaza Ankuva Çarşısı No : 6-7_Çankaya/Ankara;1231;312-2660466;312-2661013;17.03.1998
48;Akbank T.A.Ş.;Cebeci;Mamak Cad. No : 3/9 Dikimevi_Çankaya/Ankara;1231;312-3191385;312-3191723;29.05.1953
49;Akbank T.A.Ş.;Çankaya;Hoşdere Cad. No : 222_Çankaya/Ankara;1231;312-4094700;312-4409527;01.09.1972
50;Akbank T.A.Ş.;Çankaya Ticari;Hoşdere Cad. No : 222_Çankaya/Ankara;1231;312-4094750;312-4399434;26.03.2004
51;Akbank T.A.Ş.;Çukurambar;Kızılırmak Mah. 41.Cad. Selin Sitesi No:1/38 Çukurambar_Çankaya/Ankara;1231;312-2841273;312-2841510;31.05.2010
52;Akbank T.A.Ş.;Dikmen;Dikmen Caddesi No: 304/5_Çankaya/Ankara;1231;312-4832223;312-4827071;03.09.1973
53;Akbank T.A.Ş.;Emek;Bişkek Cad. No : 159 / A_Çankaya/Ankara;1231;312-2137212;312-2229105;01.06.1969
54;Akbank T.A.Ş.;Gaziosmanpaşa / Ankara;Uğur Mumcu Cad. No : 27_Çankaya/Ankara;1231;312-4597750;312-4476614;23.12.1997
55;Akbank T.A.Ş.;Kavaklıdere;Tunalıhilmi Cad. No : 102 / A_Çankaya/Ankara;1231;312-4272477;312-4671487;01.09.1967
56;Akbank T.A.Ş.;Kızılay;Gazi Mustafa Kemal Bulvarı No : 5_Çankaya/Ankara;1231;312-4108500;312-4187048;28.09.1973
57;Akbank T.A.Ş.;Küçükesat;Esat Cad. No : 72 / 21_Çankaya/Ankara;1231;312-4182121;312-4251772;02.02.1966
58;Akbank T.A.Ş.;Maltepe / Ankara;Gazi Mustafa Kemal Bulvarı No : 95 / A_Çankaya/Ankara;1231;312-2318129;312-2304879;06.05.1967
59;Akbank T.A.Ş.;Mithatpaşa;Fidanlık Mah. Mithatpaşa Cad. No:29_Çankaya/Ankara;1231;312-4342546;312-4323081;17.09.1973
60;Akbank T.A.Ş.;Necatibey Caddesi;Necatibey Cad. No : 36 / A_Çankaya/Ankara;1231;312-2291742;312-2301562;27.11.1970
61;Akbank T.A.Ş.;Nenehatun;Filistin Caddesi No:4 Gaziosmanpaşa_Çankaya/Ankara;1231;312-4366018;312-4372278;23.12.1971
62;Akbank T.A.Ş.;O.D.T.Ü.;O.D.T.Ü. Kampüsü Edi Ek Çarşısı No : Z01_Çankaya/Ankara;1231;312-2101073;312-2101071;20.05.1997
63;Akbank T.A.Ş.;Özel Bankacılık Ankara;Gaziosmanpaşa Mah. Arjantin Cad. No:44_Çankaya/Ankara;1231;312-4575000;312-4686332;15.11.2001
64;Akbank T.A.Ş.;Tandoğan;Degol Cad. No : 9_Çankaya/Ankara;1231;312-2137440;312-2120602;17.04.1974
65;Akbank T.A.Ş.;Ümitköy;Çayyolu Mah. 8.Cad. 16.Sokak Hekimköy Sitesi No:3_Çankaya/Ankara;1231;312-2358902;312-2358905;08.05.2001
66;Akbank T.A.Ş.;Yenişehir / Ankara;Atatürk Bulvarı No : 68 / A_Çankaya/Ankara;1231;312-4105200;312-4170776;11.02.1963
67;Akbank T.A.Ş.;Yıldız;Turan Güneş Bulvarı 71.Sok. No : 52 / 2 - 4_Çankaya/Ankara;1231;312-4430740;312-4415298;11.09.1997
68;Akbank T.A.Ş.;Çubuk;Yavuz Selim Mah. Hükümet Cad. No : 6_Çubuk/Ankara;1260;312-8371227;312-8370602;02.11.1972
69;Akbank T.A.Ş.;Elmadağ;Kemalpaşa Mahallesi Cumhuriyet Caddesi No : 1/1-2_Elmadağ/Ankara;1302;312-8631127;312-8634556;01.10.1976
70;Akbank T.A.Ş.;Elvankent;14.Cadde Osman Şahin İş Merkezi No:57/84_Etimesgut/Ankara;1922;312-2617780;312-2610769;11.11.2008
71;Akbank T.A.Ş.;Eryaman;Altay Mahallesi Orhan Bey Caddesi No: 1/114_Etimesgut/Ankara;1922;312-2806633;312-2803574;27.10.1997
72;Akbank T.A.Ş.;Eryaman (Eryaman 1 Etap Nakit) Bağlı;Eryaman 1.Etap Toplu Yapı Yönetimi 6 Kutlutaş İş Merkezi Yanı_Etimesgut/Ankara;1922;312-5519355;312-2803574;02.10.2017
73;Akbank T.A.Ş.;Etimesgut;Hikmet Özer Caddesi No:21-21/A_Etimesgut/Ankara;1922;312-2451899;312-2431804;28.12.1978
74;Akbank T.A.Ş.;Göksu Eryaman;Göksu Mahallesi 5352 Cadde No. 1F/2_Etimesgut/Ankara;1922;312-2810865;312-2810863;16.01.2007
75;Akbank T.A.Ş.;Şaşmaz;Bahçekapı Mah. İstanbul Yolu Oto Sanayi Sitesi Girişi 2488 Cadde No:7/B_Etimesgut/Ankara;1922;312-2781815;312-2785217;23.06.2010
76;Akbank T.A.Ş.;Gölbaşı;Bahçelievler Mah. Ankara Cad. No: 93 A_Gölbaşı/Ankara;1744;312-4850106;312-4850108;19.09.2000
77;Akbank T.A.Ş.;Kahramankazan;Atatürk Mah. Gmk Caddesi No:7/A_Kahramankazan/Ankara;1815;312-8146064;312-8146034;16.12.2008
78;Akbank T.A.Ş.;Tai;Fethiye Mah. Havacılık Bulvarı Tai Çarşısı İçi No: Z/13 Akıncı_Kahramankazan/Ankara;1815;312-8112700;312-8112063;30.12.1998
79;Akbank T.A.Ş.;Etlik;Yavrukurt Sok. No : 1_Keçiören/Ankara;1745;312-3211442;312-3256764;20.05.1974
80;Akbank T.A.Ş.;Kalaba;Sanatoryum Cad. No : 85 / B_Keçiören/Ankara;1745;312-3586623;312-3147780;28.12.1977
81;Akbank T.A.Ş.;Keçiören;Nuri Pamir Cad. No : 9_Keçiören/Ankara;1745;312-3554240;312-3570561;28.01.1974
82;Akbank T.A.Ş.;Mamak;Çarşı İçi Cad. No : 12_Mamak/Ankara;1746;312-3687703;312-3680197;27.06.1969
83;Akbank T.A.Ş.;Polatlı;Sivrihisar Cad. No : 27 / C_Polatlı/Ankara;1578;312-6231180;312-6212075;21.05.1953
84;Akbank T.A.Ş.;Ankara Osb;Aso 1.Organize Sanayi Bölgesi Aso Bulvarı No:1/Z 04 Zemin Ka_Sincan/Ankara;1747;312-2671985;312-2671862;08.12.2010
85;Akbank T.A.Ş.;Sincan;Ankara Cad. Meltem Sok. No : 5_Sincan/Ankara;1747;312-2750000;312-2701784;17.08.1968
86;Akbank T.A.Ş.;Alacaatlı Kavşağı;Prof.Dr. Ahmet Taner Kışlalı Mah. S.Saltoğlu Cad. No:35/5_Yenimahalle/Ankara;1723;312-2408140;312-2408256;30.09.2010
87;Akbank T.A.Ş.;Batıkent;Kentkoop Mahallesi Batıkent Bulvarı Meydan Avm No: 255/1 Batıkent Ankara _Yenimahalle/Ankara;1723;312-2504567;312-2504569;05.09.2000
88;Akbank T.A.Ş.;Demetevler;İvedik Cad. No : 434_Yenimahalle/Ankara;1723;312-3464930;312-3341222;23.03.1973
89;Akbank T.A.Ş.;Gimat;Bağdat Caddesi Ömer Kemik İş Merkezi No:95 A Blok 1_Yenimahalle/Ankara;1723;312-3971831;312-3971830;01.04.1996
90;Akbank T.A.Ş.;İvedik;Eminel İş Merkezi İvedik Organize Sanayi Bölgesi Melih Gökçek Bulvarı 18/1 No:11-23 İvedik_Yenimahalle/Ankara;1723;312-3950027;312-3943157;20.12.2005
91;Akbank T.A.Ş.;İvedik Organize Sanayi;İvedik Organize Sanayi Bölgesi Ağaç İşleri Sitesi 21.Cadde (1354 Cadde) No:114_Yenimahalle/Ankara;1723;312-3959145;312-3959113;31.05.2012
92;Akbank T.A.Ş.;Ostim Sanayi Sitesi;100. Yıl Bulvarı No : 47_Yenimahalle/Ankara;1723;312-5929700;312-3850916;19.01.1982
93;Akbank T.A.Ş.;Yaşamkent;Yaşamkent Mah. 3222 Cadde No:55/12 Çayyolu_Yenimahalle/Ankara;1723;312-2172480;312-2172488;20.12.2010
94;Akbank T.A.Ş.;Yenimahalle;Ragıp Tüzün Cad. No : 158_Yenimahalle/Ankara;1723;312-3153419;312-3155706;22.05.1953
95;Akbank T.A.Ş.;Alanya;Şekerhane Mah. Atatürk Cad. Anıt Karşısı No : 2_Alanya/Antalya;1126;242-5133333;242-5125466;17.11.1975
96;Akbank T.A.Ş.;Alanya Sanayi;Cumhuriyet Mah. Keykubat Bulvarı Oba Saray No: 221Aa_Alanya/Antalya;1126;242-5150121;242-5150954;15.08.2011
97;Akbank T.A.Ş.;Konaklı;Telatiye Mah. Vatan Cad. No:2_Alanya/Antalya;1126;242-5652114;242-5653990;29.12.1998
98;Akbank T.A.Ş.;Mahmutlar;Yeni Mah. Barbaros Cad. No:100 Kılınçlar Apt. A Blok No:29/30 Mahmutlar_Alanya/Antalya;1126;242-5288066;242-5288024;29.06.2012
99;Akbank T.A.Ş.;Döşemealtı;Yeniköy Mahallesi Atatürk Caddesi No:474/24-25 Döşemealtı_Döşemealtı/Antalya;2036;242-4213602;242-4214430;01.10.2013
100;Akbank T.A.Ş.;Kalkan;Menteşe Mahallesi Şehitler Caddesi No : 26/A_Kaş/Antalya;1451;242-8441440;242-8443544;24.04.2008
101;Akbank T.A.Ş.;Kemer;Yeni Mahalle Dr Derviş Eroğlu Dörtyol Bulvarı No: 27/A-B_Kemer/Antalya;1959;242-8142920;242-8142921;20.05.1997
102;Akbank T.A.Ş.;Akdeniz Sanayi Sitesi;Akdeniz Sanayi Sitesi 5006 Sok No:95-97_Kepez/Antalya;2037;242-2216980;242-2216989;25.09.2007
103;Akbank T.A.Ş.;Kepez;Teomanpaşa Mah. Yeşilırmak Cad. No:20_Kepez/Antalya;2037;242-3381000;242-3381150;21.08.2008
104;Akbank T.A.Ş.;Konyaaltı;Toros Mahallesi Atatürk Bulvarı 803 Sokak Salih Fidangül Apt. No:34/1_Konyaaltı/Antalya;2038;242-2298720;242-2298731;22.04.2008
105;Akbank T.A.Ş.;Uncalı;Uluç Mah. Gazi Mustafa Kemal Bulvarı Çetin İş Merkezi No: 91/B 07070_Konyaaltı/Antalya;2038;242-2302207;242-2302411;31.08.2010
106;Akbank T.A.Ş.;Korkuteli;Atatürk Meydanı No : 18_Korkuteli/Antalya;1483;242-6436330;242-6535922;10.08.1977
107;Akbank T.A.Ş.;Kumluca;Bağlık Mah. Yunus Emre Cad. No : 2 / B_Kumluca/Antalya;1492;242-8871400;242-8871120;23.09.1977
108;Akbank T.A.Ş.;Manavgat;Antalya Cad. Yukarı Hisar Mah. No : 24_Manavgat/Antalya;1512;242-7461380;242-7469907;28.05.1973
109;Akbank T.A.Ş.;Manavgat Sanayi;Aşağı Pazarcı Mah. Sanayi Sitesi Girişi_Manavgat/Antalya;1512;242-7468741;242-7432782;31.07.2012
110;Akbank T.A.Ş.;Side;Yalı Mah. Atatürk Bulvarı Turgut Şen İş Merkezi_Manavgat/Antalya;1512;242-7535500;242-7535503;01.12.2004
111;Akbank T.A.Ş.;Akdeniz Bulvarı;Konyaaltı Cad. Tanırlar Apt. No : 52 / A_Muratpaşa/Antalya;2039;242-2431556;242-2432431;11.04.1985
112;Akbank T.A.Ş.;Antalya;Kazım Özalp Cad. No : 37_Muratpaşa/Antalya;2039;242-2499700;242-2444088;03.05.1960
113;Akbank T.A.Ş.;Antalya Havalimanı;Antalya Havalimanı Dış Hatlar Terminali 1.Kısım 7230_Muratpaşa/Antalya;2039;242-2809172;242-2809173;18.09.2017
114;Akbank T.A.Ş.;Antalya Havalimanı (Dış Hatlar Nakit);Antalya Hava Limanı Dış Hatlar Terminali 2. Kısım 7000_Muratpaşa/Antalya;2039;242-2809172;242-2809173;18.09.2017
115;Akbank T.A.Ş.;Antalya Havalimanı (İç Hatlar Nakit);Antalya Havalimanı İç Hatlar Terminali Zemin Kat Gelen Giden Yolcu Koridoru  G-60 Kod 7000_Muratpaşa/Antalya;2039;242-2809172;242-2809174;18.09.2017
116;Akbank T.A.Ş.;Antalya Ticari;Mehmetçik Mah. Aspendos Bulv. Aspendos İş Merk. No : 65_Muratpaşa/Antalya;2039;242-3107100;242-3229024;23.03.2004
117;Akbank T.A.Ş.;Aspendos Bulvarı;Mehmetçik Mah. Aspendos Bulv. Aspendos İş Merk. No : 65_Muratpaşa/Antalya;2039;242-3107050;242-3224782;23.03.2004
118;Akbank T.A.Ş.;Bülent Ecevit Bulvarı;Bülent Ecevit Bulvarı No:101_Muratpaşa/Antalya;2039;242-3248151;242-3248163;11.09.2008
119;Akbank T.A.Ş.;Çallı;Sedir Mah. Gazi Bulvarı No 148_Muratpaşa/Antalya;2039;242-3361030;242-3451420;16.08.2005
120;Akbank T.A.Ş.;Işıklar;Haşim İşcan Mah. Fevzi Paşa Cad. No : 1_Muratpaşa/Antalya;2039;242-2495600;242-2447928;27.04.2005
121;Akbank T.A.Ş.;Lara;Özgürlük Bulvarı No : 45_Muratpaşa/Antalya;2039;242-3162982;242-3162983;09.11.1999
122;Akbank T.A.Ş.;Mevlana Kavşağı;Etiler Mah. Evliya Çelebi Cad. No:3 Mirador İş Merkezi No:4_Muratpaşa/Antalya;2039;242-3130347;242-3130452;17.10.2012
123;Akbank T.A.Ş.;Soğuksu;Yıldız Mahallesi Hamidiye Caddesi No:53_Muratpaşa/Antalya;2039;242-3450028;242-3442418;30.09.2010
124;Akbank T.A.Ş.;Şarampol;Muratpaşa Mah. Kazım Özalp Cad. Hasan Bıçakçı İşhanı No : 1 / 12_Muratpaşa/Antalya;2039;242-2434356;242-2430383;07.05.1973
125;Akbank T.A.Ş.;Belek;Belek Beldesi Ptt Karşısı Atatürk Cad. Özen İş Merkezi No:20 / 13-14-15_Serik/Antalya;1616;242-7153330;242-7153338;21.04.2006
126;Akbank T.A.Ş.;Serik;Atatürk Cad. Akarlar İş Hanı No : 41_Serik/Antalya;1616;242-7221139;242-7224708;04.12.1964
127;Akbank T.A.Ş.;Ardahan;Kongre Cad. No : 34_Merkez/Ardahan;1144;478-2114624;478-2112198;17.10.1977
128;Akbank T.A.Ş.;Arhavi;Musazade Mah. Cumhuriyet Meydanı No : 5_Arhavi/Artvin;1147;466-3122628;466-3122618;17.10.1977
129;Akbank T.A.Ş.;Hopa;Cumhuriyet Cad. No : 23_Hopa/Artvin;1395;466-3514290;466-3513997;26.03.1971
130;Akbank T.A.Ş.;Artvin;İnönü Cad. No : 76_Merkez/Artvin;1152;466-2123733;466-2126744;07.09.1973
131;Akbank T.A.Ş.;Çine;Mehmet Yavaş Cad. No : 135_Çine/Aydın;1256;256-7116029;256-7114974;12.09.1973
132;Akbank T.A.Ş.;Didim;Yeni Mah. Atatürk Bulvarı No:80_Didim/Aydın;2000;256-8138489;256-8138498;14.06.2005
133;Akbank T.A.Ş.;Aydın;Hükümet Bulvarı No : 2 / A_Efeler/Aydın;2076;256-2124570;256-2253924;15.11.1965
134;Akbank T.A.Ş.;Efeler;Yedi Eylül Mahallesi İzmir Bulvarı No:49_Efeler/Aydın;2076;256-2264000;256-2265016;08.07.2008
135;Akbank T.A.Ş.;Kuşadası;Adnan Menderes Bulv. Mender İş Merkezi Altı Belediye Karşısı No : 1_Kuşadası/Aydın;1497;256-6131010;256-6148835;25.09.1970
136;Akbank T.A.Ş.;Kuşadası (Davutlar);Türkşanlı Mah. Cengiz Topel Caddesi No:8_Kuşadası/Aydın;1497;256-6572715;256-6571294;18.03.2011
137;Akbank T.A.Ş.;Nazilli;Uzunçarşı No : 10_Nazilli/Aydın;1542;256-3131093;256-3122608;15.05.1957
138;Akbank T.A.Ş.;Söke;İstasyon Cad. No : 6_Söke/Aydın;1637;256-5181592;256-5184393;08.10.1963
139;Akbank T.A.Ş.;Ayvalık;Atatürk Cad. No : 9_Ayvalık/Balıkesir;1161;266-3121265;266-3124618;27.09.1972
140;Akbank T.A.Ş.;Bandırma;İnönü Cad. No : 49_Bandırma/Balıkesir;1171;266-7133751;266-7147781;22.05.1964
141;Akbank T.A.Ş.;Bigadiç;Cami Mah. Muammer Aksoy Cad. No:1_Bigadiç/Balıkesir;1191;266-6141015;266-6141898;31.08.1971
142;Akbank T.A.Ş.;Burhaniye;Mahkeme Mah. Hürriyet Cad. No : 25_Burhaniye/Balıkesir;1216;266-4221365;266-4126495;08.05.1970
143;Akbank T.A.Ş.;Akçay;Cumhuriyet Cad. No:18_Edremit/Balıkesir;1294;266-3843109;266-3853126;27.05.2010
144;Akbank T.A.Ş.;Altınoluk;Küçüksu Mah. Tekçam Cad. No:4_Edremit/Balıkesir;1294;266-3963080;266-3963039;13.05.2008
145;Akbank T.A.Ş.;Edremit;Hacı Tuğrul Mah. Çayiçi Cad. No : 18_Edremit/Balıkesir;1294;266-3731155;266-3734143;30.01.1958
146;Akbank T.A.Ş.;Erdek;Yalı Mah. Pazar Cad. Fırın Sok. No : 12_Erdek/Balıkesir;1310;266-8354029;266-8458467;20.01.1986
147;Akbank T.A.Ş.;Gönen;Kurtuluş Mah. Hüseyin Tümer Cad. No : 36_Gönen/Balıkesir;1360;266-7621871;266-7624337;25.11.1975
148;Akbank T.A.Ş.;Balıkesir;Milli Kuvvetler Cad. No : 11_Karesi/Balıkesir;2078;266-2458121;266-2495732;01.11.1963
149;Akbank T.A.Ş.;Sanayi Sitesi / Balıkesir;S.S. Balıkesir Merkez Küçük Sanayi Sitesi Yapı Kooperatifi Yeni Sanayi Sitesi Yönetimi Binası Zemin Kat_Karesi/Balıkesir;2078;266-2460650;266-2462698;08.07.2008
150;Akbank T.A.Ş.;Sındırgı;Kurtuluş Mah. İsmail Habib Cad. No : 10_Sındırgı/Balıkesir;1619;266-5161271;266-5165527;27.12.1976
151;Akbank T.A.Ş.;Bartın;Orta Mah. Piryamcılar Cad. No : 6_Merkez/Bartın;1172;378-2271351;378-2274967;22.07.1968
152;Akbank T.A.Ş.;Batman;Bahçelievler Mah. Turgut Özal Bulvarı Güner Apt. No:216_Merkez/Batman;1174;488-2131621;488-2132743;02.09.1974
153;Akbank T.A.Ş.;Raman;Kültür Mah. Turgut Özal Bulvarı Mavi Köşk Apt. No:307-D_Merkez/Batman;1174;488-2128324;488-2128330;06.08.2013
154;Akbank T.A.Ş.;Bozüyük;İnönü Cad. No : 4_Bozüyük/Bilecik;1210;228-3148401;228-3141032;19.12.1978
155;Akbank T.A.Ş.;Bilecik;Gazipaşa Mah. Tevfik Bey Cad. No : 24_Merkez/Bilecik;1192;228-2121364;228-2126090;17.10.1977
156;Akbank T.A.Ş.;Bingöl;Yenişehir Mah. Genç Cad. No : 38_Merkez/Bingöl;1193;426-2131895;426-2136329;25.10.1977
157;Akbank T.A.Ş.;Bolu;Büyükcami Mahallesi İzzet Baysal Caddesi 81/A_Merkez/Bolu;1199;374-2121000;374-2125461;22.08.1966
158;Akbank T.A.Ş.;Bucak;Oguzhan Mah. Fevzi Paşa Cad. No : 23_Bucak/Burdur;1211;248-3253385;248-3253386;22.07.1976
159;Akbank T.A.Ş.;Burdur;Konak Mah. Gazi Cad. No : 32_Merkez/Burdur;1215;248-2331662;248-2337040;20.12.1967
160;Akbank T.A.Ş.;Gemlik;İstiklal Cad. No : 10_Gemlik/Bursa;1343;224-5134675;224-5134154;30.01.1958
161;Akbank T.A.Ş.;İnegöl;Nuri Doğrul Cad. No : 17_İnegöl/Bursa;1411;224-7151489;224-7139884;28.03.1969
162;Akbank T.A.Ş.;Sanayi/İnegöl;Yeni Sanayi Ertuğrulgazi Cad. No:36_İnegöl/Bursa;1411;224-7119215;224-7119237;25.09.2008
163;Akbank T.A.Ş.;Karacabey;Tabaklar Mahallesi Bandırma Caddesi Belediye İş Merkezi No:4 Zemin Kat_Karacabey/Bursa;1434;224-6762660;224-6764129;30.12.1975
164;Akbank T.A.Ş.;Kestel;Ahmet Vefik Paşa Mah. Bursa Cad. No:5 Kestel/ Bursa_Kestel/Bursa;1960;224-3720630;224-3724896;03.06.2008
165;Akbank T.A.Ş.;Mudanya;Halitpaşa Cad. No : 2_Mudanya/Bursa;1530;224-5441168;224-5441938;25.12.1978
