customerID;isControl;isBusiness;creditLimit;tenure;comparisonPA;target;reward;optIn;observationPA
6929;0;0;70000;82;29289.78;40000;2000;0;38308.77
5331;0;0;66000;72;29139.94;40000;2000;1;24827.45
7718;0;0;130000;6;28555.71;40000;2000;1;51705.53
5031;0;0;60000;75;28269.35;40000;2000;1;33598.06
7566;0;1;70000;3;28161.86;40000;2000;1;42833.73
9269;0;0;60000;99;27647.18;40000;2000;1;39249.07
3214;0;1;80000;109;27392.96;40000;2000;1;28000
8619;0;0;90000;4;26829.26;40000;2000;0;35000
9664;0;0;75000;27;26726.52;40000;2000;1;40066.57
1511;1;1;65000;34;26325.63;38000;2000;0;200
3201;0;1;35000;34;26148.1;38000;2000;0;25000
3408;0;1;50000;53;26022.93;38000;2000;1;26000
5525;0;0;65000;5;25677.57;38000;2500;1;40565.61
9976;0;1;60000;4;25549.58;38000;2000;1;14000
10969;0;1;55000;44;25141.38;38000;2000;0;25000
1562;1;1;40000;104;24890.13;35000;2000;0;0
6679;0;1;45000;70;24034.84;35000;1800;1;22978.9
1831;1;1;35000;67;24022.2;35000;1800;0;1000
2988;0;0;90000;4;23977.32;35000;1800;1;37942.41
3963;0;1;35000;40;23940.33;35000;2000;1;14625.91
10821;0;1;90000;14;23650;35000;2000;1;30600
7986;0;1;60000;20;23200;32000;1800;1;15400
7757;0;1;80000;81;23000;32000;1800;0;51800
7977;0;1;65000;105;22750.84;32000;1800;1;15517.02
3346;0;1;105000;3;22750;32000;1800;1;40000
555;1;1;25000;52;22750;30000;1500;0;11249.2
5275;0;0;48000;90;22725.51;32000;1800;1;16760.79
3966;0;0;32000;34;22531.41;32000;1800;1;12994.51
6293;0;1;45000;97;22426.03;32000;1800;1;21375.36
4965;0;1;85000;5;22341;32000;1800;1;39835
10468;0;1;45000;55;22331;32000;1800;0;23631
9991;0;1;65000;111;22155;32000;1800;1;14000
1588;1;1;50000;72;22083.75;30000;1500;0;0
3765;0;0;60000;4;22024.36;30000;1500;1;44463.68
3107;0;1;40000;71;22006;30000;1500;0;21154
2660;0;1;60000;14;21996;30000;1500;1;30000
3802;0;1;30000;65;21633;30000;1500;1;11963
3288;0;0;85000;6;21518;30000;1500;1;38173
9003;0;0;60000;3;21280;30000;1600;1;34640
6636;0;0;34000;65;20990;30000;1500;0;18480
9672;0;1;35000;7;20850;30000;1500;1;30125
5526;0;1;50000;25;20850;30000;1500;1;10675
9812;0;1;50000;26;20850;30000;1500;0;12750
6899;0;0;45000;5;20500;28000;1500;1;35000
11219;0;0;40000;96;20200;28000;1500;0;38800
7653;0;0;120000;6;20100;28000;1500;1;48200
11502;0;1;35000;106;19823.09;28000;1500;0;10771.53
3929;0;0;140000;3;19523.42;28000;1500;1;54013.39
1928;1;0;56000;88;19491;28000;1500;0;230
3807;0;0;90000;3;19323.66;28000;1500;1;36000
11907;0;0;40000;34;19162;26000;1500;1;12000
11464;0;0;54000;113;18994;26000;1500;1;26000
2421;0;0;22000;51;18894;26000;1500;0;21525
7969;0;0;61000;74;18748;26000;1500;0;14993
11966;0;0;27000;88;18670;26000;1500;1;12130
3017;0;0;45000;5;18610;26000;1500;1;35950
7576;0;0;64000;94;18475;26000;1500;0;22125
3893;0;0;64000;54;18300;24000;2000;0;11825
2145;0;0;60000;4;18050;24000;1500;1;33850
1962;1;1;45000;62;17732;24000;1500;0;0
5984;0;1;50000;7;17700;24000;1500;1;15500
1936;1;0;45000;54;17551;24000;1500;0;500
8878;0;1;80000;3;17500;24000;1500;1;27700
6742;0;1;45000;6;17500;24000;1500;1;29250
1440;1;0;28000;62;17480;24000;1500;0;11000
9662;0;0;130000;5;17259.13;24000;1500;1;52887.04
2712;0;0;52000;60;17149.8;24000;1500;1;16204.97
5086;0;0;65000;5;17004.92;24000;1500;1;31526.58
1437;1;1;45000;48;16790;24000;1500;0;12000
512;1;0;24000;58;16775;24000;1500;0;8975
9032;0;1;40000;86;16589.69;23000;1200;0;17005.92
3441;0;1;55000;26;16551;23000;1200;0;23534
11736;0;0;72000;37;16442;23000;1200;1;23307
9966;0;0;41000;56;16340;23000;1200;0;12978
7797;0;0;45000;4;16181;23000;1200;1;44618
1977;1;0;57000;118;15950;22000;1200;0;1000
5947;0;1;40000;43;15770;22000;1200;1;11560
1205;1;0;35000;8;15750;22000;1200;0;10050
5405;0;1;65000;4;15660;22000;1200;1;27290
9629;0;0;130000;119;15625;22000;1200;0;72500
10455;0;0;26000;110;15250;21000;1200;0;17950
9442;0;1;20000;114;15050;21000;1200;0;7150
8607;0;0;48000;6;15000;21000;1200;1;26250
3956;0;1;20000;58;14900;21000;1200;0;14600
9962;0;0;17000;43;14756.39;21000;1200;0;14895.08
8957;0;0;55000;91;14750;21000;1200;0;31000
9792;0;0;52000;5;14667.48;21000;1200;1;23412.59
1931;1;0;44000;114;14500;20000;1000;0;2500
5443;0;1;25000;14;14498.73;20000;1000;0;18682.57
9184;0;0;80000;6;14372.67;27000;1500;1;39685.43
2969;0;1;70000;4;14284.42;20000;1000;1;24064.05
8083;0;1;75000;6;14250;24000;1500;1;33250
10353;0;0;70000;3;14209;20000;1000;1;36370
11165;0;1;60000;3;14194;20000;1000;1;31056
9997;0;0;33000;120;14186;20000;1000;0;15891
7967;0;1;31000;92;14112;20000;1000;1;15694
9101;0;1;65000;100;14080;20000;1000;0;25070
11679;0;0;90000;5;13910;19000;1000;1;47410
5803;0;0;60000;4;13850;19000;1000;1;47975
5445;0;0;45000;93;13800;19000;1000;1;5350
11420;0;0;44000;4;13775;19000;1000;1;26150
1111;1;1;26000;109;13750;19000;1000;0;11250
4571;0;0;45000;6;13747.06;25000;1500;1;40000
857;1;0;20000;31;13700;19000;1000;0;8100
7896;0;0;45000;88;13600;19000;1000;0;8700
4690;0;1;65000;6;13500;19000;1000;1;21800
10262;0;0;60000;52;13400;19000;1000;0;22000
5996;0;1;39000;109;13288.83;19000;1000;0;14000
7417;0;0;70000;91;13250;19000;1000;1;19000
9877;0;1;30000;5;12951.54;18000;1000;1;20000
10866;0;0;46000;4;12833.47;18000;1000;1;25000
720;1;1;36000;25;12800;18000;1000;0;7400
7277;0;1;20000;111;12763.81;18000;1000;1;17712
11981;0;0;35000;100;12738;18000;1000;0;13086
11411;0;0;64000;6;12710;18000;1000;1;23944
2913;0;0;22000;94;12672;18000;1000;0;4813
10754;0;1;25000;3;12639;18000;1000;0;19103
7820;0;0;51000;12;12530;18000;1000;1;17240
3797;0;1;50000;89;12390;18000;1000;1;48000
11462;0;1;17000;13;12375;18000;1000;1;6800
1826;1;0;15000;60;12310;18000;1000;0;1500
11199;0;1;40000;5;12250;17000;1000;1;28000
776;1;1;13000;54;12250;17000;1000;0;8500
10577;0;0;62000;4;12200;17000;1000;1;23850
7960;0;1;40000;56;12150;17000;1000;1;15000
7997;0;0;34000;80;12100;17000;1000;1;15900
9242;0;0;48000;6;12000;17000;1000;1;23600
11992;0;0;45000;41;12000;17000;1000;1;15000
10088;0;0;100000;3;11879.41;18000;1000;1;33062.27
11955;0;0;42000;12;11851.68;18000;1000;1;14067.71
11976;0;1;37000;95;11827.66;17500;1000;1;14076.31
6000;0;1;28000;88;11775.77;17000;1000;1;15736.4
1572;1;0;28000;61;11712.36;16500;1000;0;7185.46
5979;0;1;17000;92;11710;16500;1000;1;12724
4636;0;0;45000;17;11705;16500;1000;1;16601
3839;0;0;29000;18;11613;16500;1000;1;10083
4892;0;1;20000;3;11533;16000;1000;1;19579
613;1;1;29000;101;11488.55;16000;1000;0;7755.93
3625;0;1;31000;13;11470;16000;1000;1;8150
7924;0;0;39000;24;11450;16000;1000;0;7840
4578;0;1;45000;17;11275;16000;1000;0;22575
9376;0;1;60000;4;11200;15500;800;1;21900
9993;0;0;52000;50;11200;15500;1000;0;14600
5966;0;1;15000;118;11150;15500;800;0;12900
744;1;1;13000;117;11111.19;15500;1000;0;10113.85
1428;1;0;17000;7;11069.88;15500;1000;0;9651.92
7543;0;1;26000;6;11000;15500;1000;1;16750
7893;0;0;120000;3;10900;15500;800;1;57200
5975;0;0;32000;24;10900;15500;1000;1;14800
6463;0;0;54000;3;10886.69;15000;800;1;22700.14
1542;1;1;26000;58;10487;14500;800;0;80
5559;0;0;95000;3;10448.68;14500;800;1;41708.77
10871;0;0;60000;5;10433.07;14500;800;1;32613.53
9445;0;0;85000;4;10405.32;14500;800;1;35000
3911;0;0;30000;32;10354;14500;800;1;14000
7981;0;0;18000;20;10347;14500;800;1;12971
11181;0;0;23000;25;10334;14500;800;0;3508
2711;0;0;15000;5;10294;14500;800;1;4739
5997;0;1;20000;5;10280;14500;800;1;16090
9996;0;0;42000;42;10180;14500;800;1;13750
11635;0;1;24000;36;10100;14000;800;1;8900
5122;0;0;51000;4;10050;14000;800;1;16500
9582;0;1;90000;34;10050;14000;800;0;46000
7931;0;0;27000;76;10000;14000;800;1;14000
11968;0;0;24000;71;9950;13500;600;0;13700
6568;0;0;22000;6;9900;13500;600;1;16200
1524;1;0;24000;49;9861;13500;600;0;6022
6807;0;1;20000;9;9750;15000;800;0;16500
452;1;1;23000;43;9704;15000;800;0;4923
4687;0;1;29000;24;9700;13500;600;0;3200
1680;1;0;11000;109;9679;15000;800;0;50
6820;0;0;80000;6;9634.07;15000;800;1;31438.11
5560;0;0;11000;77;9625.87;13000;600;0;9737.01
10639;0;1;55000;3;9556.03;13000;600;1;27377.45
5315;0;0;30000;75;9478.94;12800;600;1;8763.56
10911;0;0;50000;5;9342;15000;800;1;28067
9909;0;1;15000;93;9337;15000;800;1;13060
9931;0;0;24000;24;9303;12600;600;1;13108
9995;0;1;45000;56;9290;15000;800;1;15650
2551;0;0;33000;105;9290;15000;800;1;5256
1785;1;0;29000;11;9290;15000;800;0;5740
9456;0;0;18000;113;9280;15000;800;1;5290
5954;0;1;19000;68;9225;12500;600;1;11750
1920;1;1;12000;103;9210;15000;800;0;1000
11395;0;0;76000;4;9200.95;12000;600;1;27497.98
9152;0;1;44000;17;9150;12400;600;1;16200
5685;0;0;25000;115;9150;12400;600;1;6325
297;1;0;30000;119;9125;15000;800;0;5175
6178;0;1;50000;6;9100;12300;600;1;23800
9293;0;1;40000;94;9100;12300;600;1;17550
9910;0;1;31000;5;9100;12300;600;1;14000
9990;0;1;20000;21;9000;12200;600;1;15250
9235;0;0;46000;119;8992.59;12000;600;1;20845.48
7185;0;0;66000;38;8907.64;12000;600;1;20907.37
1241;1;1;12000;13;8875;12000;600;0;5550
11157;0;0;30000;31;8816.79;12000;600;0;4867.15
5660;0;0;33000;95;8802.76;12000;600;1;6881.92
10398;0;0;40000;3;8784;12000;600;1;25000
9953;0;1;23000;70;8692;11700;600;1;15869
7173;0;1;10000;103;8653;11600;600;1;6114
3794;0;1;18000;48;8645;11700;600;0;2737
3845;0;1;24000;36;8630;11700;600;1;10360
1820;1;1;15000;14;8600;11600;600;0;5750
210;1;0;18000;105;8550;11500;600;0;5500
1762;1;0;34000;27;8500;11500;600;0;8900
1614;1;1;10000;70;8500;11500;600;0;3900
11473;0;1;19000;107;8350;11300;600;1;5250
7814;0;0;28000;8;8275;11200;600;0;7500
9816;0;1;26000;80;8250;11000;600;1;8750
9907;0;1;32000;11;8200;11000;600;1;12000
7640;0;0;29000;117;8175;11000;600;1;11850
9661;0;0;39000;71;8150;11000;600;1;11850
7586;0;0;10000;92;8150;11000;600;1;4900
9972;0;1;28000;51;8100;11000;600;1;14600
3416;0;1;12000;91;8082.6;11000;600;0;2051.71
10805;0;0;34000;103;8051.21;11000;600;1;17903.55
11973;0;1;26000;37;7852.8;10600;600;0;12615.6
7682;0;0;65000;4;7816.07;10600;600;1;42896.72
9992;0;1;20000;42;7803;10500;600;1;15147
3061;0;0;27000;64;7785;10500;600;1;2153
1242;1;0;14000;74;7750;10500;600;0;5500
3976;0;0;23000;114;7656;10300;600;1;14173
2730;0;0;19000;96;7644;10300;600;0;3088
1999;1;0;11000;86;7630.4;10300;600;0;1000
1460;1;1;20000;73;7565.69;10200;600;0;5147.28
7585;0;0;42000;5;7530;10200;600;1;20000
3365;0;0;25000;3;7520;10000;500;1;5130
5851;0;0;20000;41;7500;10000;600;1;9250
5621;0;0;22000;98;7500;10000;600;1;4725
5702;0;0;24000;26;7450;10000;600;0;11200
11763;0;0;33000;66;7450;10000;600;1;9750
3812;0;1;19000;36;7300;9900;500;1;12000
3505;0;0;18000;18;7300;10000;600;0;5500
3946;0;1;36000;38;7250;9800;500;1;13000
3718;0;1;17000;53;7105.63;9600;600;0;1890.13
10237;0;0;46000;5;7097.11;9600;500;1;25000
10961;0;1;19000;36;7086.64;9600;500;1;2656.34
1223;1;0;17000;61;7006.11;9500;500;0;20
1722;1;1;12000;107;6973.61;9400;500;0;0
593;1;0;25000;88;6959;9400;500;0;8083
9588;0;0;19000;74;6936.9;9400;500;0;8118.09
9925;0;1;21000;117;6879;9400;500;1;12410
11893;0;0;35000;15;6870;9300;500;0;11662
152;1;0;19000;107;6863;9300;500;0;4893
7321;0;0;55000;6;6860;9300;400;1;32745
2365;0;0;28000;4;6833;9200;500;1;22142
5192;0;0;17000;103;6830;9200;500;1;5100
5822;0;0;25000;65;6810;9200;500;0;4190
8563;0;1;50000;94;6800;9200;400;1;35000
5632;0;1;12000;74;6775;9000;500;1;4125
5884;0;0;14000;68;6750;9000;500;1;9000
9885;0;0;17000;57;6750;9000;500;1;6750
9462;0;0;24000;45;6750;9000;500;1;5650
9659;0;0;13000;43;6700;9000;500;1;12200
7228;0;1;8000;76;6700;9200;500;1;3400
6638;0;0;38000;4;6643.32;9000;500;1;25531.55
6945;0;0;15000;106;6638.6;9000;500;1;2271.67
11929;0;1;20000;9;6626.72;9000;500;1;12648.03
11876;0;0;13000;42;6626.47;9000;500;1;9623.32
5060;0;0;55000;3;6609;9000;400;1;32280
516;1;1;11000;30;6607;9000;500;0;5002
3515;0;0;20000;116;6597;9000;500;0;2925
2896;0;0;105000;93;6596;9000;500;0;35429
5689;0;0;65000;87;6574;9000;400;1;45763
11676;0;0;60000;119;6560;9000;400;1;49210
9641;0;0;22000;16;6560;9000;500;1;11710
7918;0;0;29000;37;6550;9000;500;1;8675
3414;0;0;13000;106;6525;8800;400;1;4900
11758;0;1;28000;80;6500;8800;400;1;10750
800;1;1;15000;112;6480;8700;400;0;5332
3824;0;1;24000;4;6450;8700;400;0;11850
3529;0;0;11000;21;6400;8600;400;1;8400
5922;0;0;14000;25;6400;8600;400;1;7600
3920;0;1;12000;65;6400;8600;400;0;7100
9068;0;0;25000;44;6317.77;8500;400;1;5960.11
3943;0;1;20000;89;6308.43;8500;400;1;9219.24
3458;0;1;17000;43;6295.26;8500;400;0;2383.79
11896;0;1;31000;62;6293.73;8500;400;1;11095.29
8320;0;0;24000;56;6291;8500;400;0;2455
2602;0;0;9000;26;6283;8500;400;1;5130
9521;0;0;41000;84;6256;8400;400;0;11217
3525;0;0;26000;76;6250;8400;400;1;7750
3999;0;0;20000;48;6200;8400;350;1;14360
4274;0;0;20000;6;6196;8400;400;0;2775
8225;0;0;62000;6;6180;8300;340;1;17760
7242;0;0;70000;6;6175;8300;340;1;24625
7091;0;1;20000;3;6150;8300;350;1;18950
3913;0;0;17000;89;6150;8300;350;1;12050
7162;0;0;12000;110;6150;8300;350;1;5950
5904;0;1;16000;112;6100;8200;340;1;9700
7599;0;0;10000;31;6100;8200;340;1;8700
7929;0;0;38000;22;6096.25;8200;340;1;11525.63
3254;0;1;8000;82;6084.56;8200;340;1;4651.69
4895;0;1;16000;62;6073.89;8200;340;0;3320.78
11943;0;1;12000;11;6034.02;8000;300;1;9361.76
11811;0;0;27000;8;6025;8000;320;0;10497
7811;0;0;26000;110;6017;8000;300;1;9484
1951;1;1;10000;37;6010;8000;320;0;0
5934;0;1;7000;29;6005;8000;320;0;2499
7492;0;1;40000;77;6003;8000;300;1;22971
11903;0;0;19000;111;6000;8000;300;1;9550
5612;0;0;8000;5;6000;8000;340;0;3750
7930;0;0;39000;87;5980;8000;300;1;10190
2750;0;0;11000;88;5975;8000;320;0;3700
11059;0;1;8000;4;5975;8000;320;0;3150
2995;0;0;20000;21;5950;8000;340;1;3300
11858;0;0;36000;49;5900;8000;340;1;10800
3924;0;0;22000;12;5900;8000;340;1;6850
3527;0;1;17000;83;5900;8000;340;1;4400
7863;0;1;50000;14;5867.37;8000;340;0;46000
2362;0;0;28000;5;5865.17;8000;340;1;20212.9
7005;0;1;8000;67;5862.99;8000;340;0;5499.95
2608;0;0;42000;4;5851.77;8000;340;1;30256.66
5964;0;1;23000;82;5835;8000;340;0;12354
1967;1;1;25000;59;5820;18000;340;0;20000
3848;0;0;32000;75;5809;7800;300;1;9870
9289;0;0;55000;4;5802;7800;300;1;35000
3822;0;1;10000;11;5802;7800;320;1;4131
9542;0;0;18000;94;5790;7800;320;0;6390
3904;0;0;26000;74;5780;7800;320;0;10420
262;1;0;21000;100;5775;7800;320;0;3350
6895;0;1;7000;67;5775;7800;320;0;3550
7500;0;0;21000;66;5750;7600;300;0;4500
5399;0;0;19000;90;5725;7600;300;0;3800
5901;0;1;100000;62;5700;17600;300;1;58750
11845;0;0;15000;49;5700;7600;300;1;11900
5575;0;0;40000;26;5700;7600;300;1;11300
5622;0;0;17000;6;5700;7600;300;0;4400
11944;0;0;18000;40;5684.88;7600;300;0;6288.06
4560;0;1;13000;35;5668.41;7600;300;1;3907.9
7016;0;0;21000;27;5656.28;7600;320;0;6056.17
7771;0;1;15000;106;5649.61;7600;300;1;11292.18
3641;0;1;17000;57;5642;7600;300;1;10277
3572;0;1;16000;97;5629;7600;320;0;1307
763;1;0;9000;97;5625;7600;320;0;5200
1279;1;1;14000;40;5600;7500;300;0;10000
7468;0;0;20000;78;5594;7600;320;1;3387
4744;0;1;16000;63;5593;7600;320;0;5355
11223;0;0;16000;100;5590;7500;300;0;6730
9424;0;1;13000;94;5580;7500;300;1;6540
11990;0;0;58000;6;5575;7500;300;1;15750
7280;0;0;42000;115;5575;7500;300;0;27450
4563;0;1;14000;67;5550;7500;320;1;4650
3633;0;0;8000;42;5550;7500;320;0;3200
4970;0;1;46000;3;5518.32;7500;300;1;16393.89
2933;0;0;12000;20;5504.62;7500;320;0;4537.52
11777;0;1;15000;54;5502.46;7500;300;1;10730.81
3521;0;0;32000;61;5500;7500;320;0;9800
1794;1;0;7000;51;5500;7500;320;0;4100
897;1;1;12000;70;5500;7500;320;0;3650
2877;0;1;9000;115;5500;7200;280;1;2250
11711;0;1;16000;35;5500;7500;320;0;1750
6540;0;1;11000;63;5500;7500;320;0;300
11615;0;0;24000;54;5496.66;7500;320;0;7043.63
5548;0;0;17000;75;5487;7500;320;1;6394
7648;0;1;10000;111;5480;7500;320;1;7376
7752;0;1;13000;75;5479;7500;320;0;9945
11757;0;0;24000;84;5444;7200;280;1;9592
3578;0;0;35000;63;5430;7200;280;0;10590
10548;0;0;9000;105;5430;7200;280;0;1270
9965;0;0;24000;4;5425;7200;280;0;8575
11818;0;0;21000;53;5425;7200;280;1;8075
5906;0;1;30000;36;5400;7200;280;1;10500
9679;0;1;19000;4;5400;7200;280;1;8200
6725;0;0;21000;11;5400;7200;280;0;3900
4301;0;0;8000;5;5400;7200;280;0;250
3965;0;0;26000;36;5386.3;7200;300;1;10497.35
11259;0;0;15000;59;5370.44;7200;300;1;2754.96
11457;0;0;16000;49;5350.76;7200;300;0;2609.06
8863;0;0;16000;42;5342.51;7200;300;0;3027.98
11742;0;0;20000;59;5340;7200;300;1;5878
5944;0;1;17000;23;5340;7200;300;0;6269
11166;0;0;14000;81;5340;7200;300;0;612
2188;0;1;16000;52;5320;7200;300;1;2740
5815;0;0;23000;105;5320;7200;300;0;6900
6695;0;1;9000;100;5318;7200;300;0;5647
7529;0;1;14000;76;5300;7200;300;1;10250
9666;0;0;23000;86;5300;7000;280;0;9900
11797;0;1;17000;96;5300;7000;280;0;10000
9924;0;0;19000;34;5300;7200;300;0;7025
2929;0;0;18000;53;5300;7000;280;0;3000
501;1;0;11000;63;5300;7000;280;0;4800
4237;0;0;11000;18;5300;7200;300;0;150
11442;0;0;27000;95;5281.45;7000;280;1;7181.93
5668;0;0;27000;83;5279.4;7000;280;1;9747.63
3937;0;1;14000;25;5277.05;7000;280;0;6272.09
5858;0;0;13000;46;5260.59;7000;280;1;10761.93
10504;0;1;18000;27;5255;7000;280;0;6172
11661;0;0;35000;24;5254;7000;280;1;10063
5627;0;0;10000;71;5253;7000;280;1;7842
5577;0;0;60000;3;5250;7000;300;1;50000
7790;0;0;50000;114;5250;7000;280;1;46000
11632;0;0;15000;103;5250;7000;280;1;4050
11592;0;0;21000;119;5250;7000;280;0;4000
3825;0;0;6000;24;5250;7000;280;0;4000
7779;0;1;18000;31;5250;7000;280;0;6301
5946;0;0;23000;5;5240;7000;280;1;14000
4795;0;0;21000;99;5240;7000;280;1;5810
11840;0;0;70000;12;5200;7000;280;0;53150
9227;0;0;19000;39;5200;7000;280;0;5100
5480;0;1;11000;11;5200;7000;280;1;2500
7362;0;0;15000;72;5194.01;7000;280;1;4983.24
3508;0;1;12000;34;5190.26;7000;280;1;7956.98
5369;0;0;7000;54;5188.64;7000;280;1;2727.07
9025;0;1;8000;67;5186.95;7000;300;0;4469.82
3602;0;1;105000;5;5175;7000;300;1;42705
11187;0;0;26000;47;5175;7000;300;1;25000
11745;0;1;14000;43;5162;7000;300;0;4557
3837;0;1;40000;106;5160;7000;300;1;20000
9701;0;0;22000;40;5160;7000;300;0;8810
11670;0;1;10000;107;5160;7000;300;1;6580
5590;0;1;30000;116;5150;7000;300;1;20000
3964;0;0;46000;34;5150;7000;300;1;12300
11974;0;0;20000;89;5150;7000;300;1;9150
7903;0;1;12000;119;5150;7000;300;1;9175
7161;0;1;12000;73;5108.52;7000;300;0;2498.17
8677;0;0;19000;55;5103.45;7000;300;0;3739.46
5410;0;1;8000;9;5100;7000;300;1;3900
7327;0;1;8000;50;5100;7000;300;0;6100
5182;0;1;12000;100;5089.67;7000;300;0;3836.75
11807;0;0;25000;65;5077.75;7000;300;1;7313.58
1503;1;0;17000;117;5070.95;7000;300;0;4191.5
1633;1;0;12000;66;5058.2;7000;320;0;7199.02
4820;0;0;9000;41;5057;7000;320;0;4556
7395;0;0;18000;46;5055;7000;320;0;3595
11444;0;0;10000;23;5053;7000;320;0;4503
11760;0;1;75000;3;5044;7000;300;1;36000
1322;1;0;13000;22;5034.72;7000;320;0;3926.62
5698;0;1;75000;4;5030;7000;300;1;41080
7900;0;1;11000;81;5030;7000;320;1;4370
3896;0;0;27000;15;5025;7000;300;1;7775
9173;0;1;11000;98;5025;7000;320;0;1700
2639;0;1;100000;5;5000;6800;300;1;35000
2878;0;1;80000;6;5000;6800;280;1;27700
1044;1;0;36000;66;5000;7000;300;0;10750
2901;0;0;20000;5;5000;7000;300;0;5250
9749;0;1;13000;48;5000;7000;320;0;5200
3609;0;1;8000;58;5000;6800;300;0;4000
3206;0;1;10000;112;5000;6800;280;0;5000
3686;0;1;8000;39;5000;6800;280;0;4300
1998;1;1;7000;69;4995.56;6800;280;0;2827.62
3624;0;1;12000;100;4979.61;6800;300;0;8197.16
3804;0;0;22000;41;4968.5;6800;300;0;8897.51
5869;0;0;17000;90;4968.28;6800;300;1;7955.35
1564;1;1;10000;92;4967;6800;300;0;3851
1513;1;0;15000;94;4963;6800;300;0;3056
7578;0;1;25000;7;4960.27;6800;300;1;12275.94
9979;0;0;24000;96;4957;6800;300;1;12077
2949;0;0;8000;55;4948;6800;300;0;4650
11487;0;0;16000;109;4948;6800;300;0;3471
3041;0;1;100000;4;4939;6800;300;1;35000
1227;1;1;13000;26;4926;6800;300;0;645
4991;0;1;14000;27;4925;6800;300;0;4850
9410;0;1;14000;110;4925;6800;300;0;3925
1926;1;0;11000;53;4923;6800;300;0;2878
11500;0;0;11000;71;4920;6800;300;1;5170
8491;0;0;12000;32;4920;6800;300;0;270
10937;0;1;40000;5;4900;7000;300;1;28600
9846;0;1;16000;105;4900;6800;300;1;9700
10626;0;0;10000;32;4900;6800;300;0;6550
5861;0;0;20000;23;4900;6800;300;0;3250
8988;0;0;10000;12;4900;6600;280;0;3800
1764;1;1;11000;15;4890;6600;300;0;3060
3;1;1;12000;78;4890;6600;300;0;370
11399;0;0;70000;6;4878.63;6600;300;1;32736.4
3885;0;0;20000;94;4877.04;6600;280;1;6983.96
1805;1;0;14000;31;4875;6600;280;0;4200
712;1;0;7000;68;4875;6600;280;0;2900
5923;0;1;10000;77;4874.93;6600;280;1;2987.67
7917;0;0;11000;26;4871.53;6600;250;1;6753.23
4520;0;0;17000;81;4868;6600;280;1;2279
9145;0;0;100000;6;4861;6600;300;1;37576
3566;0;1;12000;30;4851;6600;280;1;7992
5674;0;0;9000;81;4850;6600;280;1;8490
5582;0;0;14000;56;4850;6600;250;1;6868
3483;0;0;15000;70;4850;6600;280;0;4475
3228;0;0;11000;13;4850;6600;280;0;4260
4591;0;0;20000;52;4850;6600;280;0;3600
5990;0;0;7000;92;4850;6600;280;0;1925
7742;0;0;15000;9;4811.25;6600;280;1;7856.47
7622;0;0;10000;12;4803.26;6600;280;0;6359.99
9718;0;1;16000;4;4800;6400;280;1;12500
9623;0;0;11000;75;4800;6400;280;0;5650
9215;0;0;12000;75;4800;6400;280;0;2600
1978;1;1;13000;79;4800;6400;280;0;2600
1894;1;1;8000;21;4800;6400;280;0;1500
3655;0;0;17000;74;4799.12;6600;280;0;6596.84
11534;0;0;35000;108;4798.32;6600;280;1;9717.64
5915;0;0;20000;19;4798;6600;280;1;7646
9057;0;0;10000;107;4793;6600;280;1;7102
10900;0;0;17000;9;4786;6600;300;0;6528
8916;0;0;8000;109;4784;6600;300;1;3427
11687;0;1;9000;87;4780;6600;300;0;4330
